id,edo,mes,anio,mpio,hora,minutos,dia,diasemana,urbana,suburbana,tipaccid,automovil,campasaj,microbus,pascamion,omnibus,tranvia,camioneta,camion,tractor,ferrocarri,motociclet,bicicleta,otrovehic,causaacci,caparod,sexo,aliento,cinturon,edad,condmuerto,condherido,pasamuerto,pasaherido,peatmuerto,peatherido,ciclmuerto,ciclherido,otromuerto,otroherido,totmuertos,totheridos,clase,calle1,calle2,carretera,longitud,latitud,fechahora,severidad,hay_muertos,hay_heridos,solo_daños_materiales,severidad_cat,franja_horaria,geometry,edge_u,edge_v,edge_key,distancia_edge
576,9,1,2019,2,21,30,28,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5,7,33,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA CAMINO REAL A TOLUCA,AVENIDA SUR 122,NAN,-99.20207,19.39052,2019-01-28 21:30:00,0,False,False,True,leve,Noche,POINT (-99.20207 19.39052),331424340,1144605742,0,1.1451087355232188
577,9,1,2019,2,8,15,30,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,59,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA HOMERO,CALLE PLATÓN,NAN,-99.20322,19.43611,2019-01-30 08:15:00,0,False,False,True,leve,Mañana,POINT (-99.20322 19.43611),272060934,272060935,0,1.478171163647211
578,9,1,2019,2,11,30,30,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,73,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA CONSTITUYENTES,AVENIDA CONSTITUYENTES,NAN,-99.22245,19.3962,2019-01-30 11:30:00,0,False,False,True,leve,Mañana,POINT (-99.22245 19.3962),3666132295,3666132301,0,2.9292727306487576
4179,9,2,2019,2,21,20,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,41,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE 3,CALLE NUEVA JERUSALÉN,NAN,-99.18241,19.48283,2019-02-01 21:20:00,0,False,False,True,leve,Noche,POINT (-99.18241 19.48283),387995807,387995860,0,0.36109144719844816
4180,9,2,2019,2,16,0,15,5,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,19,0,1,0,0,0,0,0,0,0,0,0,1,2,EJE VIAL 4 NORTE (REFINERÍA AZCAPOTZALCO),AVENIDA JOSÉ MARÍA MORELOS,NAN,-99.18332,19.49006,2019-02-15 16:00:00,3,False,True,False,moderada,Tarde,POINT (-99.18332 19.49006),385642034,387152588,0,0.48776127160072613
4181,9,2,2019,2,8,30,22,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA JARDÍN,CALLE CLAVEL,NAN,-99.16392,19.45824,2019-02-22 08:30:00,0,False,False,True,leve,Mañana,POINT (-99.16392 19.45824),1932507018,1932507017,0,0.49134084262529537
4182,9,2,2019,2,19,15,1,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,7,41,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 1 PONIENTE (CALZADA VALLEJO),EJE VIAL 1 PONIENTE (CALZADA VALLEJO),NAN,-99.15048,19.48527,2019-02-01 19:15:00,0,False,False,True,leve,Noche,POINT (-99.15048 19.48527),1404054457,8104259007,0,0.37662140564933805
4183,9,2,2019,2,21,50,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,60,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA CEYLÁN,CALLE PONIENTE 128,NAN,-99.16947,19.4925,2019-02-01 21:50:00,0,False,False,True,leve,Noche,POINT (-99.16947 19.4925),8103889640,8532052776,0,4.001802447094774
4184,9,2,2019,2,12,20,2,6,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,52,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA 22 DE FEBRERO,CALLE CAMARONES,NAN,-99.18462,19.47773,2019-02-02 12:20:00,0,False,False,True,leve,Tarde,POINT (-99.18462 19.47773),385639044,7978518264,0,2.748723094718505
4185,9,2,2019,2,23,0,2,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,7,34,0,0,0,0,0,0,0,0,0,0,0,0,3,EJE VIAL 3 NORTE (CUITLÁHUAC),CALLE A,NAN,-99.15899,19.47364,2019-02-02 23:00:00,0,False,False,True,leve,Noche,POINT (-99.15899 19.47364),1865208072,47073070,0,1.1830502995013283
