edge_u,edge_v,edge_key,accidentes_totales,severidad_total,muertos_totales,heridos_totales,accidentes_graves,distancia_prom_edge
30533474,2157224272,0,1,0,0,0,0,0.23972671008313504
30533863,8293182168,0,54,70,4,10,4,2727.697572431609
30535645,680354071,0,2,0,0,0,0,5.5528713856554415
30535662,2262498312,0,2,0,0,0,0,11.364768278835633
30594056,3815854049,0,1,0,0,0,0,0.13080247104852935
30594057,268376195,0,1,0,0,0,0,0.9612070595044944
30594063,268376839,0,3,0,0,0,0,3.7697802522014356
30594068,30879636,0,5,9,0,3,0,1.3429268054808978
30594068,268383940,0,3,0,0,0,0,2.8408498689237995
30594075,268378644,0,1,0,0,0,0,1.6971169510907462
30594077,30594075,0,13,24,0,8,0,0.45742963687628024
30594090,274841231,0,1,0,0,0,0,6.008307975182514
30594093,30879847,0,3,0,0,0,0,2.0077415226618203
30594125,274839136,0,1,0,0,0,0,3.5731435808959504
30594197,276455299,0,6,3,0,1,0,2.793214224875389
30594200,30594227,0,2,3,0,1,0,0.0040314183196451655
30594200,276453601,0,2,3,0,1,0,1.072517717014138
30594246,275364792,0,2,0,0,0,0,2.531144113811079
30594263,268824776,0,3,6,0,2,0,0.21794902038240127
30594355,274916292,0,4,0,0,0,0,3.628673317168068
30594414,30594419,0,1,0,0,0,0,0.5415738707955488
30594419,30594423,0,2,6,0,2,0,5.200745168813711
30594423,8226797973,0,5,3,0,1,0,2.746769943798385
30594512,30341039,0,1,0,0,0,0,3.0588442824451954
30594728,269833246,0,2,6,0,2,0,2.4569034457894388
30594757,1420664573,0,15,27,0,9,0,1.0828119327217365
30594788,269821579,0,4,15,0,5,0,3.0329526293418447
30595043,30595103,0,1,0,0,0,0,1.0339432539357822
30595044,274841379,0,4,0,0,0,0,1.0130754580920953
30595045,30384725,0,3,0,0,0,0,2.753910710598202
30595045,274848364,0,1,0,0,0,0,0.051448040465371575
30595096,30595089,0,2,3,0,1,0,1.3366375459946074
30595101,1420541239,0,2,3,0,1,0,0.0979980360810416
30595117,30825352,0,1,0,0,0,0,1.894497956049327
30595220,294214598,0,1,0,0,0,0,4.574209903999161
30595250,300642753,0,2,0,0,0,0,5.428913891403144
30595254,685228668,0,3,6,0,2,0,8.594082748750536
30595257,406063482,0,1,0,0,0,0,9.43770641195253
30595258,406063300,0,3,3,0,1,0,8.990965976723697
30595312,685245075,0,2,0,0,0,0,8.025075650983538
30595326,30595330,0,3,0,0,0,0,6.1065254594299665
30595360,8236395989,0,7,0,0,0,0,1.7112927999124827
30595401,666042841,0,2,0,0,0,0,22.82958214778904
30595521,271466156,0,8,18,0,6,0,1.3340065110982122
30595521,271482226,0,1,0,0,0,0,0.7250741230532937
30595521,271483583,0,1,0,0,0,0,2.695971525617163
30595559,30595561,0,1,3,0,1,0,3.2740806502359745
30627639,277239996,0,1,0,0,0,0,0.5700330835762856
30627642,270494062,0,12,15,0,5,0,7.270750274829108
30627642,8078858557,0,2,3,0,1,0,7.51423503177712
30627909,3649802641,0,4,3,0,1,0,1.4309367633754344
30627925,274206299,0,1,3,0,1,0,1.3849424689899879
30627926,274184150,0,11,18,0,6,0,2.2264453425115516
30627931,30627932,0,4,23,2,1,2,3.308358694154851
30627932,270486915,0,1,0,0,0,0,2.1609294766607325
30628130,270499543,0,6,9,0,3,0,0.9107936539696061
30628363,270575132,0,1,0,0,0,0,7.08521058843312
30628366,270575137,0,1,0,0,0,0,3.855942529500119
30669353,275052971,0,1,0,0,0,0,2.9607918764087877
30669423,280144608,0,4,0,0,0,0,3.315104264916195
30669426,280165578,0,2,0,0,0,0,9.742633046321133
30669429,280165443,0,7,6,0,2,0,1.6851314214153719
30669434,280165327,0,3,0,0,0,0,0.0880878372900486
30669437,280164676,0,1,0,0,0,0,4.222535427617434
30669437,280164684,0,10,3,0,1,0,0.30359579437766226
30669609,319281252,0,1,3,0,1,0,4.702766905892888
30669609,6184954218,0,5,3,0,1,0,4.383256392428757
30669665,280379008,0,3,6,0,2,0,4.974914867840778
30669673,1415233435,0,3,0,0,0,0,0.3619172479494354
30669696,8370154747,0,6,3,0,1,0,3.2405355429441443
30669702,290778398,0,4,0,0,0,0,0.0698013974987021
30669718,1005026527,0,1,3,0,1,0,0.31002177984699064
30693508,5853903694,0,1,0,0,0,0,1.6159443812791288
30693510,276815563,0,10,9,0,3,0,2.515369255262204
30693511,300400219,0,1,0,0,0,0,0.9616104022234333
30693513,300402740,0,2,0,0,0,0,5.03477683325865
30693521,276816523,0,3,0,0,0,0,6.640689986445085
30693521,689288412,0,1,0,0,0,0,104.63665189623092
30693586,666202833,0,1,0,0,0,0,0.3424169163580366
30694146,3507960722,0,1,10,1,0,1,8.481329842661873
30758735,30594516,0,1,0,0,0,0,3.7766322828948544
30758812,30340918,0,1,0,0,0,0,0.7447760238351617
30758913,268680218,0,6,3,0,1,0,2.048173232326811
30758971,30759098,0,2,3,0,1,0,1.2828839662873097
30759081,275408453,0,1,0,0,0,0,3.828336618629648
30759094,30789558,0,3,3,0,1,0,0.6491228373168638
30759098,30758971,0,3,0,0,0,0,1.6604263335838798
30759099,30789438,0,1,6,0,2,0,1.1610611830003812
30759104,30759103,0,4,9,0,3,0,5.780885142674708
30759288,30340903,0,3,0,0,0,0,0.4356807255473229
30788272,30788273,0,1,0,0,0,0,0.29300636185700146
30788436,30340096,0,1,3,0,1,0,0.22760616461144567
30788443,30340101,0,1,0,0,0,0,4.370740011618892
30788640,275715921,0,2,0,0,0,0,0.18524653371322547
30788893,275513027,0,1,0,0,0,0,0.1555022937215247
30788898,275513083,0,2,3,0,1,0,1.1964963573492753
30788943,30788944,0,1,0,0,0,0,1.1890315332663255
30788944,30384007,0,1,0,0,0,0,0.29865923761328583
30788947,275513169,0,1,0,0,0,0,0.4473506208603462
30788948,30788955,0,1,0,0,0,0,0.1891680497399643
30788955,5834344843,0,1,0,0,0,0,1.3531545094734707
30788958,275512749,0,1,0,0,0,0,2.6345132847858403
30789010,30759101,0,1,0,0,0,0,0.9832778477326359
30789026,268679231,0,1,0,0,0,0,0.40270580320762095
30789031,274840989,0,2,10,1,0,1,1.2164939976281803
30789031,6459744104,0,1,0,0,0,0,2.4920774723538828
30789034,474733239,0,2,3,0,1,0,0.07133821715820789
30789176,30789171,0,1,3,0,1,0,0.6474410452234066
30789228,30789229,0,1,0,0,0,0,2.883838823666358
30789229,30789228,0,1,0,0,0,0,3.29916154667212
30789313,30789309,0,1,0,0,0,0,2.6292739431777186
30789426,30789427,0,4,0,0,0,0,0.05043098888757919
30789428,30789429,0,1,0,0,0,0,2.919283495986931
30789429,30340087,0,4,0,0,0,0,5.206013225250748
30789432,276312193,0,3,0,0,0,0,2.875079436591848
30789435,30789434,0,4,0,0,0,0,0.7067429870787368
30789442,274841132,0,1,3,0,1,0,1.0640722745775204
30789463,30789442,0,1,0,0,0,0,2.2957220985961477
30789464,275358045,0,2,0,0,0,0,0.7049926857223382
30789467,268678873,0,1,3,0,1,0,0.41272020217949584
30789469,30789463,0,1,0,0,0,0,0.9079599824776075
30789522,30789538,0,3,6,0,2,0,4.827254409752559
