u,v,key,peso_distancia,peso_balanceado,peso_seguro
30383531,345104162,0,552.0925,651.9091,751.7258
30383531,345104162,1,198.4169,234.2901,270.1633
30383531,11865547744,0,91.9707,108.5987,125.2268
30383842,268663687,0,12.7864,13.369,13.9515
30383842,310600030,0,20.9359,20.9534,20.9708
30383842,6459388888,0,317.7698,375.2336,432.6974
30383872,280149620,0,41.994,42.5573,43.1205
30383872,685196121,0,111.5144,113.0101,114.5057
30383874,685196271,0,139.6465,178.115,216.5835
30383904,275512146,0,19.3206,19.6171,19.9137
30383904,30383954,0,95.3115,96.5548,97.7981
30383954,275674743,0,46.5513,47.5016,48.452
30383954,274840814,0,41.4842,42.3311,43.178
30383969,6099372041,0,13.8887,20.8358,27.7828
30383969,275673368,0,41.1628,61.7521,82.3414
30383969,275672295,0,91.8174,91.8358,91.8543
30383984,4153728597,0,13.5301,13.6238,13.7175
30383984,8208487541,0,13.4737,13.4998,13.526
30384007,5834344847,0,13.9312,14.1262,14.3211
30384007,275513301,0,143.4597,145.4672,147.4747
30384011,275672225,0,83.9791,90.783,97.5869
30384011,30789425,0,376.7406,472.927,569.1134
30384013,8063385589,0,80.5198,82.0908,83.6617
30384055,2306119027,0,66.1802,84.0195,101.8589
30384066,276453324,0,128.3739,142.701,157.0282
30384066,275513552,0,221.3073,353.5906,485.874
30384066,274841386,0,80.6198,89.6174,98.615
30384068,5438718989,0,96.5341,113.5835,130.6329
30384068,275515529,0,77.4013,91.0715,104.7417
30384069,276454071,0,128.6419,136.9975,145.3531
30384069,275515454,0,80.2318,85.443,90.6542
30384070,30880050,0,271.0032,319.9998,368.9963
30384070,4151485783,0,93.8085,94.1555,94.5025
30384131,2716409563,0,113.102,126.6848,140.2676
30384131,274993688,0,20.7621,25.6277,30.4932
30384146,319146892,0,206.7356,208.0801,209.4246
30384146,960202681,0,15.3698,24.9406,34.5114
30384157,290269029,0,18.2778,20.227,22.1761
30384157,290261923,0,80.7698,89.3832,97.9966
30384157,8204633458,0,59.5206,65.8679,72.2153
30384159,3035185003,0,27.9289,34.138,40.3472
30384159,317907127,0,99.563,110.0426,120.5222
30384235,796694516,0,15.0695,15.0695,15.0695
30384235,8218840005,0,66.8765,66.8765,66.8765
30384235,319655058,0,138.8952,138.8952,138.8952
30384242,294196013,0,13.0819,13.252,13.4222
30384242,319142378,0,107.4917,109.0895,110.6873
30384244,796897616,0,47.4279,47.4279,47.4279
30384244,293963785,0,15.5907,15.5907,15.5907
30384249,1119113976,0,13.2047,16.539,19.8732
30384249,8208177160,0,90.0774,91.2491,92.4207
30384249,8208177159,0,249.0573,294.0861,339.1149
30384273,275513446,0,182.7578,182.7578,182.7578
30384273,275512612,0,14.5343,16.6178,18.7013
30384280,275512602,0,66.261,67.2694,68.2778
30384280,30341103,0,254.7379,300.8968,347.0558
